,id,title,author,authoryearofbirth,avg_speed,normalized_volume,cirtuitous,genre_war,genre_biography,genre_romance,genre_drama,genre_fantasy,genre_family,genre_science,genre_action,genre_thriller,genre_western,genre_horror,genre_mystery,genre_crime,genre_history,genre_periodicals,genre_christian,genre_other,log_N_tokens,log_downloads
1978,PG28229,"Anderson Crow, Detective","McCutcheon, George Barr",1866.0,0.07863074,0.7180662491169836,35.72304,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.476178489603113,4.418840607796598
1979,PG28235,In Orchard Glen,"MacGregor, Mary Esther Miller",1876.0,0.0778232,0.6561596758987193,20.0288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.465414482299176,3.555348061489413
1980,PG28266,The Duke's Motto: A Melodrama,"McCarthy, Justin H. (Justin Huntly)",1860.0,0.07398504,0.7198238654979425,8.455952,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.351018113126592,3.951243718581428
1981,PG28267,Venus in Boston: A Romance of City Life,"Thompson, George",1823.0,0.07249026,0.5585045825224406,20.126368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.14452490099888,3.295836866004329
1982,PG28271,Seven Miles to Arden,"Sawyer, Ruth",1880.0,0.07624899,0.5432940398452244,11.203525,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.066982053273314,4.110873864173311
1983,PG28291,Our Home in the Silver West: A Story of Struggle and Adventure,"Stables, Gordon",1840.0,0.0925413,0.7742807917238087,18.048195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.53665175716486,3.713572066704308
1984,PG28331,"The Young Ranchers; Or, Fighting the Sioux","Ellis, Edward Sylvester",1840.0,0.064528376,0.47472687528146,9.606295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.959835835262863,3.80666248977032
1985,PG2833,The Portrait of a Lady — Volume 1,"James, Henry",1843.0,0.07157781,0.7858550688168171,36.29126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.88380602959621,7.223295679562314
1986,PG28345,Somehow Good,"De Morgan, William",1839.0,0.07225575,0.848499345225398,35.152374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.508164151648458,4.736198448394496
1987,PG28346,Deathworld,"Harrison, Harry",1925.0,0.07227998,0.5791126551788255,16.762352,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.156621880640408,5.771441123130016
1988,PG2834,The Portrait of a Lady — Volume 2,"James, Henry",1843.0,0.06605937,0.7767753383312949,39.82935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.852749221824956,6.192362489474872
1989,PG28366,Nancy Stair: A Novel,"Lane, Elinor Macartney",1864.0,0.07136101,0.7519139850309694,14.926987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.41721820634054,4.262679877041316
1990,PG28378,Too Old for Dolls: A Novel,"Ludovici, Anthony M. (Anthony Mario)",1882.0,0.069628194,0.7335413326345642,22.975788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.507892822442154,4.836281906951478
1991,PG28381,"Ben, the Luggage Boy; Or, Among the Wharves","Alger, Horatio, Jr.",1832.0,0.07564427,0.6036090484888985,10.312281,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.103557751594796,4.477336814478207
1992,PG28387,Hurricane Island,"Watson, H. B. Marriott (Henry Brereton Marriott)",1863.0,0.07359447,0.7589345532837832,19.953438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.665552126929128,4.07753744390572
1993,PG283,The Reef,"Wharton, Edith",1862.0,0.07028038,0.7792841844492069,29.19515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.66623865134058,4.997212273764115
1994,PG28418,The Black Buccaneer,"Meader, Stephen W. (Stephen Warren)",1892.0,0.07414794,0.6417090568845689,14.88635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.182948090992008,4.189654742026425
1995,PG28439,The Comings of Cousin Ann,"Sampson, Emma Speed",1868.0,0.08368232,0.5675362140206843,9.729165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.07069263266985,3.8918202981106265
1996,PG28440,The Dark Star,"Chambers, Robert W. (Robert William)",1865.0,0.086754516,0.8235621670864668,22.104113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8409406124406,4.969813299576001
1997,PG28441,A Modern Cinderella,"Douglas, Amanda M.",1831.0,0.07543041,0.5945805897021128,13.103636,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.123992937496425,4.343805421853684
